0(0|{-0.83147,-0.55557,-1},12|{-0.19509,-0.980785,-1})  3(12|{-0.19509,-0.980785,-1},0|{-0.83147,-0.55557,-1})
1(1|{-0.55557,-0.83147,-1},0|{-0.83147,-0.55557,-1})    7(0|{-0.83147,-0.55557,-1},1|{-0.55557,-0.83147,-1})
2(12|{-0.19509,-0.980785,-1},1|{-0.55557,-0.83147,-1})  114(1|{-0.55557,-0.83147,-1},12|{-0.19509,-0.980785,-1})
3(12|{-0.19509,-0.980785,-1},0|{-0.83147,-0.55557,-1})  0(0|{-0.83147,-0.55557,-1},12|{-0.19509,-0.980785,-1})
4(0|{-0.83147,-0.55557,-1},5|{-0.500013,-0.748323,-1})  9(5|{-0.500013,-0.748323,-1},0|{-0.83147,-0.55557,-1})
5(5|{-0.500013,-0.748323,-1},12|{-0.19509,-0.980785,-1})        117(12|{-0.19509,-0.980785,-1},5|{-0.500013,-0.748323,-1})
6(1|{-0.55557,-0.83147,-1},2|{-0.707107,-0.707107,-1})  34(2|{-0.707107,-0.707107,-1},1|{-0.55557,-0.83147,-1})
7(0|{-0.83147,-0.55557,-1},1|{-0.55557,-0.83147,-1})    1(1|{-0.55557,-0.83147,-1},0|{-0.83147,-0.55557,-1})
8(2|{-0.707107,-0.707107,-1},0|{-0.83147,-0.55557,-1})  24(0|{-0.83147,-0.55557,-1},2|{-0.707107,-0.707107,-1})
9(5|{-0.500013,-0.748323,-1},0|{-0.83147,-0.55557,-1})  4(0|{-0.83147,-0.55557,-1},5|{-0.500013,-0.748323,-1})
10(0|{-0.83147,-0.55557,-1},3|{-0.636396,-0.636396,-1}) 12(3|{-0.636396,-0.636396,-1},0|{-0.83147,-0.55557,-1})
11(3|{-0.636396,-0.636396,-1},5|{-0.500013,-0.748323,-1})       55(5|{-0.500013,-0.748323,-1},3|{-0.636396,-0.636396,-1})
12(3|{-0.636396,-0.636396,-1},0|{-0.83147,-0.55557,-1}) 10(0|{-0.83147,-0.55557,-1},3|{-0.636396,-0.636396,-1})
13(0|{-0.83147,-0.55557,-1},4|{-0.748323,-0.500013,-1}) 62(4|{-0.748323,-0.500013,-1},0|{-0.83147,-0.55557,-1})
14(4|{-0.748323,-0.500013,-1},3|{-0.636396,-0.636396,-1})       45(3|{-0.636396,-0.636396,-1},4|{-0.748323,-0.500013,-1})
15(2|{-0.707107,-0.707107,-1},142|{-0.724438,-0.685988,-0.721277})      181(142|{-0.724438,-0.685988,-0.721277},2|{-0.707107,-0.707107,-1})
16(143|{-0.773819,-0.625818,0.0728616},14|{-0.83147,-0.55557,1})        182(14|{-0.83147,-0.55557,1},143|{-0.773819,-0.625818,0.0728616})
17(166|{-0.83147,-0.55557,-0.716039},0|{-0.83147,-0.55557,-1})  223(0|{-0.83147,-0.55557,-1},166|{-0.83147,-0.55557,-0.716039})
18(14|{-0.83147,-0.55557,1},167|{-0.83147,-0.55557,-0.151606})  224(167|{-0.83147,-0.55557,-0.151606},14|{-0.83147,-0.55557,1})
19(381|{-0.728683,-0.680816,-0.721069},166|{-0.83147,-0.55557,-0.716039})       1407(166|{-0.83147,-0.55557,-0.716039},381|{-0.728683,-0.680816,-0.721069})
20(167|{-0.83147,-0.55557,-0.151606},359|{-0.822943,-0.56596,0.0752655})        1428(359|{-0.822943,-0.56596,0.0752655},167|{-0.83147,-0.55557,-0.151606})
21(142|{-0.724438,-0.685988,-0.721277},381|{-0.728683,-0.680816,-0.721069})     1506(381|{-0.728683,-0.680816,-0.721069},142|{-0.724438,-0.685988,-0.721277})
22(359|{-0.822943,-0.56596,0.0752655},386|{-0.788254,-0.608229,0.073568})       1524(386|{-0.788254,-0.608229,0.073568},359|{-0.822943,-0.56596,0.0752655})
23(386|{-0.788254,-0.608229,0.073568},143|{-0.773819,-0.625818,0.0728616})      1530(143|{-0.773819,-0.625818,0.0728616},386|{-0.788254,-0.608229,0.073568})
24(0|{-0.83147,-0.55557,-1},2|{-0.707107,-0.707107,-1}) 8(2|{-0.707107,-0.707107,-1},0|{-0.83147,-0.55557,-1})
25(1|{-0.55557,-0.83147,-1},144|{-0.57702,-0.813866,-0.716901}) 172(144|{-0.57702,-0.813866,-0.716901},1|{-0.55557,-0.83147,-1})
26(145|{-0.636826,-0.764785,0.0724196},16|{-0.707107,-0.707107,1})      173(16|{-0.707107,-0.707107,1},145|{-0.636826,-0.764785,0.0724196})
27(160|{-0.707107,-0.707107,-0.722125},2|{-0.707107,-0.707107,-1})      183(2|{-0.707107,-0.707107,-1},160|{-0.707107,-0.707107,-0.722125})
28(16|{-0.707107,-0.707107,1},161|{-0.707107,-0.707107,0.0695971})      184(161|{-0.707107,-0.707107,0.0695971},16|{-0.707107,-0.707107,1})
29(144|{-0.57702,-0.813866,-0.716901},363|{-0.707107,-0.707107,-0.722125})      1453(363|{-0.707107,-0.707107,-0.722125},144|{-0.57702,-0.813866,-0.716901})
30(363|{-0.707107,-0.707107,-0.722125},160|{-0.707107,-0.707107,-0.722125})     1507(160|{-0.707107,-0.707107,-0.722125},363|{-0.707107,-0.707107,-0.722125})
31(388|{-0.707107,-0.707107,0.0695971},387|{-0.664639,-0.741959,0.0713026})     1527(387|{-0.664639,-0.741959,0.0713026},388|{-0.707107,-0.707107,0.0695971})
32(161|{-0.707107,-0.707107,0.0695971},388|{-0.707107,-0.707107,0.0695971})     1531(388|{-0.707107,-0.707107,0.0695971},161|{-0.707107,-0.707107,0.0695971})
33(387|{-0.664639,-0.741959,0.0713026},145|{-0.636826,-0.764785,0.0724196})     1553(145|{-0.636826,-0.764785,0.0724196},387|{-0.664639,-0.741959,0.0713026})
34(2|{-0.707107,-0.707107,-1},1|{-0.55557,-0.83147,-1}) 6(1|{-0.55557,-0.83147,-1},2|{-0.707107,-0.707107,-1})
35(4|{-0.748323,-0.500013,-1},146|{-0.730741,-0.521437,-0.685836})      188(146|{-0.730741,-0.521437,-0.685836},4|{-0.748323,-0.500013,-1})
36(147|{-0.688701,-0.572662,0.0653711},17|{-0.636396,-0.636396,1})      189(17|{-0.636396,-0.636396,1},147|{-0.688701,-0.572662,0.0653711})
37(164|{-0.636396,-0.636396,-0.690453},3|{-0.636396,-0.636396,-1})      198(3|{-0.636396,-0.636396,-1},164|{-0.636396,-0.636396,-0.690453})
38(17|{-0.636396,-0.636396,1},165|{-0.636396,-0.636396,0.0641219})      199(165|{-0.636396,-0.636396,0.0641219},17|{-0.636396,-0.636396,1})
39(146|{-0.730741,-0.521437,-0.685836},382|{-0.684112,-0.578254,-0.688118})     1408(382|{-0.684112,-0.578254,-0.688118},146|{-0.730741,-0.521437,-0.685836})
40(383|{-0.641306,-0.630414,0.0642391},147|{-0.688701,-0.572662,0.0653711})     1432(147|{-0.688701,-0.572662,0.0653711},383|{-0.641306,-0.630414,0.0642391})
41(364|{-0.636396,-0.636396,-0.690453},164|{-0.636396,-0.636396,-0.690453})     1454(164|{-0.636396,-0.636396,-0.690453},364|{-0.636396,-0.636396,-0.690453})
