2(1|{-0.55557,-0.83147,-1},0|{-0.83147,-0.55557,-1})    8(0|{-0.83147,-0.55557,-1},1|{-0.55557,-0.83147,-1})
7(2|{-0.707107,-0.707107,-1},0|{-0.83147,-0.55557,-1})  19(0|{-0.83147,-0.55557,-1},2|{-0.707107,-0.707107,-1})
12(3|{-0.636396,-0.636396,-1},0|{-0.83147,-0.55557,-1}) 10(0|{-0.83147,-0.55557,-1},3|{-0.636396,-0.636396,-1})
96(4|{-0.748323,-0.500013,-1},0|{-0.83147,-0.55557,-1}) 13(0|{-0.83147,-0.55557,-1},4|{-0.748323,-0.500013,-1})
9(5|{-0.500013,-0.748323,-1},0|{-0.83147,-0.55557,-1})  4(0|{-0.83147,-0.55557,-1},5|{-0.500013,-0.748323,-1})
108(6|{-0.92388,-0.382683,-1},0|{-0.83147,-0.55557,-1}) 90(0|{-0.83147,-0.55557,-1},6|{-0.92388,-0.382683,-1})
99(7|{-0.831492,-0.344415,-1},0|{-0.83147,-0.55557,-1}) 97(0|{-0.83147,-0.55557,-1},7|{-0.831492,-0.344415,-1})
92(8|{-0.980785,-0.19509,-1},0|{-0.83147,-0.55557,-1})  93(0|{-0.83147,-0.55557,-1},8|{-0.980785,-0.19509,-1})
95(9|{-0.882707,-0.175581,-1},0|{-0.83147,-0.55557,-1}) 100(0|{-0.83147,-0.55557,-1},9|{-0.882707,-0.175581,-1})
3(12|{-0.19509,-0.980785,-1},0|{-0.83147,-0.55557,-1})  0(0|{-0.83147,-0.55557,-1},12|{-0.19509,-0.980785,-1})
339(150|{-0.844709,-0.5308,-0.713457},0|{-0.83147,-0.55557,-1}) 109(0|{-0.83147,-0.55557,-1},150|{-0.844709,-0.5308,-0.713457})
16(166|{-0.83147,-0.55557,-0.716039},0|{-0.83147,-0.55557,-1})  340(0|{-0.83147,-0.55557,-1},166|{-0.83147,-0.55557,-0.716039})
18(381|{-0.728683,-0.680816,-0.721069},0|{-0.83147,-0.55557,-1})        17(0|{-0.83147,-0.55557,-1},381|{-0.728683,-0.680816,-0.721069})
44(2|{-0.707107,-0.707107,-1},1|{-0.55557,-0.83147,-1}) 6(1|{-0.55557,-0.83147,-1},2|{-0.707107,-0.707107,-1})
182(10|{-0.382683,-0.92388,-1},1|{-0.55557,-0.83147,-1})        199(1|{-0.55557,-0.83147,-1},10|{-0.382683,-0.92388,-1})
1(12|{-0.19509,-0.980785,-1},1|{-0.55557,-0.83147,-1})  180(1|{-0.55557,-0.83147,-1},12|{-0.19509,-0.980785,-1})
277(144|{-0.57702,-0.813866,-0.716901},1|{-0.55557,-0.83147,-1})        39(1|{-0.55557,-0.83147,-1},144|{-0.57702,-0.813866,-0.716901})
196(158|{-0.55557,-0.83147,-0.716039},1|{-0.55557,-0.83147,-1}) 280(1|{-0.55557,-0.83147,-1},158|{-0.55557,-0.83147,-0.716039})
