1446(274|{0.55557,-0.83147,-0.0301565},66|{0.55557,-0.83147,-1})        1471(66|{0.55557,-0.83147,-1},274|{0.55557,-0.83147,-0.0301565})
1470(275|{0.55557,-0.83147,-0.0301566},66|{0.55557,-0.83147,-1})        1447(66|{0.55557,-0.83147,-1},275|{0.55557,-0.83147,-0.0301566})
1407(242|{0.446513,-0.776919,0.312322},83|{0.500013,-0.748323,1})       1090(83|{0.500013,-0.748323,1},242|{0.446513,-0.776919,0.312322})
1089(243|{0.446513,-0.776919,0.312322},83|{0.500013,-0.748323,1})       1430(83|{0.500013,-0.748323,1},243|{0.446513,-0.776919,0.312322})
1431(243|{0.446513,-0.776919,0.312322},83|{0.500013,-0.748323,1})       1408(83|{0.500013,-0.748323,1},243|{0.446513,-0.776919,0.312322})
1436(242|{0.446513,-0.776919,0.312322},240|{0.437749,-0.781604,0.199674})       1410(240|{0.437749,-0.781604,0.199674},242|{0.446513,-0.776919,0.312322})
1412(243|{0.446513,-0.776919,0.312322},240|{0.437749,-0.781604,0.199674})       1434(240|{0.437749,-0.781604,0.199674},243|{0.446513,-0.776919,0.312322})
1409(243|{0.446513,-0.776919,0.312322},242|{0.446513,-0.776919,0.312322})       1091(242|{0.446513,-0.776919,0.312322},243|{0.446513,-0.776919,0.312322})
1435(243|{0.446513,-0.776919,0.312322},242|{0.446513,-0.776919,0.312322})       1411(242|{0.446513,-0.776919,0.312322},243|{0.446513,-0.776919,0.312322})
1448(275|{0.55557,-0.83147,-0.0301566},274|{0.55557,-0.83147,-0.0301565})       1472(274|{0.55557,-0.83147,-0.0301565},275|{0.55557,-0.83147,-0.0301566})
1474(275|{0.55557,-0.83147,-0.0301566},274|{0.55557,-0.83147,-0.0301565})       1456(274|{0.55557,-0.83147,-0.0301565},275|{0.55557,-0.83147,-0.0301566})
1455(276|{0.55557,-0.83147,0.324529},274|{0.55557,-0.83147,-0.0301565}) 1475(274|{0.55557,-0.83147,-0.0301565},276|{0.55557,-0.83147,0.324529})
1473(276|{0.55557,-0.83147,0.324529},275|{0.55557,-0.83147,-0.0301566}) 1457(275|{0.55557,-0.83147,-0.0301566},276|{0.55557,-0.83147,0.324529})
